,Slave,Func,Adr,#Reg,Format,Name,Draw,Low,High
TRUE,1,3,41984,1,uint,%Battery Node 4,,,
TRUE,1,3,41985,2,float,Main parameter,,,
TRUE,1,3,41987,1,uint,Status Node 4,,,
TRUE,1,3,41988,2,float,Second parameter,,,
TRUE,1,3,29,1,int,Data Status Node 4,,,
TRUE,1,3,69,1,int,RF Signal of Node 4,,,
TRUE,1,3,42240,1,uint,%Battery Node 5,,,
TRUE,1,3,42241,2,float,Main parameter,,,
TRUE,1,3,42243,1,uint,Status Node 5,,,
TRUE,1,3,42244,2,float,Second parameter,,,
TRUE,1,3,30,1,int,Data Status Node 5,,,
